length,rings
0.455,15
0.535,10
0.59,12
0.55,14
0.5,8
0.31,6
0.595,21
0.47,8
0.465,9
0.27,5
0.375,9
0.605,10
0.68,20
0.64,21
0.5,12
0.37,7
0.445,11
0.13,3
0.59,13
0.46,11
0.515,11
0.565,19
0.645,13
0.19,4
0.62,11
0.61,14
0.6,16
0.585,10
0.475,10
0.525,12
0.63,16
0.565,18
0.565,13
0.38,11
0.545,10
0.54,11
0.62,15
0.4,9
0.53,20
0.38,10
0.66,13
0.59,20
0.52,10
0.535,17
0.45,15
0.53,21
0.59,19
0.555,17
0.475,14
0.51,10
0.43,13
0.28,7
0.4,10
0.53,14
0.65,20
0.55,11
0.515,10
0.53,11
0.505,12
0.385,7
0.475,9
0.555,9
0.605,10
0.64,8
0.24,5
0.33,6
0.42,5
0.45,7
0.48,6
0.505,9
0.535,8
0.58,7
0.605,9
0.635,11
0.65,10
0.705,12
0.275,6
0.41,6
0.45,7
0.505,7
0.53,8
0.565,8
0.58,9
0.605,10
0.63,10
0.685,10
0.72,8
0.305,5
0.365,6
0.385,8
0.425,7
0.47,8
0.5,9
0.53,10
0.55,9
0.565,8
0.585,9
0.6,10
0.61,10
0.625,9
0.645,11
0.665,10
0.73,11
0.4,7
0.47,9
0.515,8
0.58,9
0.62,10
0.645,11
0.68,11
0.335,5
0.385,8
0.46,7
0.495,8
0.525,9
0.54,10
0.56,8
0.575,10
0.59,10
0.605,9
0.61,7
0.625,10
0.64,10
0.65,9
0.665,11
0.69,12
0.74,12
0.465,10
0.545,8
0.605,10
0.665,11
0.365,6
0.435,8
0.505,8
0.53,9
0.555,9
0.575,9
0.58,9
0.615,9
0.625,11
0.645,12
0.67,12
0.725,11
0.335,6
0.45,8
0.55,10
0.285,6
0.46,7
0.54,9
0.65,8
0.405,7
0.665,27
0.435,11
0.56,9
0.445,10
0.375,5
0.595,15
0.575,14
0.29,5
0.535,8
0.57,14
0.36,6
0.58,17
0.62,14
0.325,6
0.59,11
0.505,12
0.515,9
0.56,13
0.545,11
0.435,12
0.515,10
0.44,16
0.425,18
0.52,11
0.5,9
0.2,4
0.645,14
0.49,13
0.48,12
0.465,8
0.595,10
0.69,9
0.37,6
0.46,6
0.53,8
0.6,8
0.63,8
0.77,10
0.46,6
0.52,9
0.585,7
0.62,9
0.65,9
0.74,12
0.385,7
0.445,9
0.515,9
0.555,11
0.59,9
0.63,12
0.7,13
0.39,7
0.57,8
0.63,10
0.74,11
0.46,9
0.53,8
0.575,8
0.6,10
0.615,10
0.635,11
0.66,10
0.745,12
0.555,9
0.645,10
0.435,7
0.52,11
0.575,9
0.62,11
0.66,10
0.355,7
0.58,10
0.44,7
0.63,10
0.215,5
0.535,10
0.57,14
0.67,13
0.45,11
0.585,14
0.42,10
0.555,15
0.435,7
0.41,11
0.58,13
0.605,14
0.62,13
0.375,12
0.685,16
0.51,13
0.44,11
0.295,8
0.575,10
0.35,6
0.6,11
0.375,7
0.52,7
0.625,11
0.4,6
0.55,8
0.625,10
0.715,10
0.4,6
0.48,9
0.57,9
0.6,8
0.65,11
0.42,7
0.62,9
0.295,5
0.475,9
0.545,9
0.595,10
0.625,11
0.66,10
0.78,11
0.51,9
0.705,12
0.52,10
0.565,9
0.62,11
0.695,10
0.61,12
0.68,10
0.53,9
0.485,11
0.44,8
0.67,15
0.76,14
0.455,13
0.5,20
0.35,10
0.315,5
0.295,6
0.525,7
0.185,4
0.585,12
0.72,11
0.54,8
0.625,9
0.64,9
0.55,10
0.625,11
0.72,11
0.35,7
0.595,9
0.77,11
0.385,8
0.71,12
