sodium,refractive_index
13.64,1.52101
13.89,1.51761
13.53,1.51618
13.21,1.51766
13.27,1.51742
12.79,1.51596
13.30,1.51743
13.15,1.51756
14.04,1.51918
13.00,1.51755
12.72,1.51571
12.80,1.51763
12.88,1.51589
12.86,1.51748
12.61,1.51763
12.81,1.51761
12.68,1.51784
14.36,1.52196
13.90,1.51911
13.02,1.51735
12.82,1.51750
14.77,1.51966
12.78,1.51736
12.81,1.51751
13.38,1.51720
12.98,1.51764
13.21,1.51793
12.87,1.51721
12.56,1.51768
13.08,1.51784
12.65,1.51768
12.84,1.51747
12.85,1.51775
12.57,1.51753
12.69,1.51783
13.29,1.51567
13.89,1.51909
12.74,1.51797
14.21,1.52213
14.21,1.52213
12.79,1.51793
12.71,1.51755
13.21,1.51779
13.73,1.52210
12.73,1.51786
13.49,1.51900
13.19,1.51869
13.99,1.52667
13.21,1.52223
13.58,1.51898
13.72,1.52320
13.20,1.51926
13.43,1.51808
13.14,1.51837
13.21,1.51778
12.45,1.51769
12.99,1.51215
12.87,1.51824
13.48,1.51754
13.39,1.51754
13.60,1.51905
13.81,1.51977
13.51,1.52172
14.17,1.52227
13.48,1.52172
13.69,1.52099
13.05,1.52152
13.05,1.52152
13.12,1.52152
13.31,1.52300
14.86,1.51574
13.64,1.51848
13.09,1.51593
13.34,1.51631
13.02,1.51596
13.02,1.51590
13.44,1.51645
13.00,1.51627
13.92,1.51613
12.82,1.51590
12.86,1.51592
13.25,1.51593
13.41,1.51646
13.09,1.51594
14.25,1.51409
13.36,1.51625
13.24,1.51569
13.40,1.51645
13.01,1.51618
12.55,1.51640
12.93,1.51841
12.90,1.51605
13.12,1.51588
13.24,1.51590
12.71,1.51629
13.36,1.51860
13.02,1.51841
12.20,1.51743
12.67,1.51689
12.96,1.51811
12.75,1.51655
12.35,1.51730
12.62,1.51820
13.80,1.52725
13.83,1.52410
11.45,1.52475
10.73,1.53125
12.30,1.53393
14.43,1.52222
13.72,1.51818
11.23,1.52664
11.02,1.52739
12.64,1.52777
13.46,1.51892
13.10,1.51847
13.41,1.51846
13.24,1.51829
13.72,1.51708
13.30,1.51673
13.56,1.51652
13.25,1.51844
12.93,1.51663
13.23,1.51687
13.48,1.51707
13.20,1.52177
12.93,1.51872
12.94,1.51667
13.78,1.52081
13.55,1.52068
13.98,1.52020
13.75,1.52177
13.70,1.52614
13.43,1.51813
13.71,1.51800
13.33,1.51811
13.19,1.51789
13.00,1.51806
12.89,1.51711
12.79,1.51674
12.87,1.51674
13.33,1.51690
13.20,1.51851
12.85,1.51662
13.00,1.51709
12.99,1.51660
12.85,1.51839
13.65,1.51769
13.33,1.51610
13.24,1.51670
12.16,1.51643
13.14,1.51665
14.32,1.52127
13.64,1.51779
13.42,1.51610
12.86,1.51694
13.04,1.51646
13.41,1.51655
14.03,1.52121
13.53,1.51776
13.50,1.51796
13.33,1.51832
13.64,1.51934
14.19,1.52211
14.01,1.51514
12.73,1.51915
11.56,1.52171
11.03,1.52151
12.64,1.51969
12.86,1.51666
13.27,1.51994
13.44,1.52369
13.02,1.51316
13.00,1.51321
13.38,1.52043
12.85,1.52058
12.97,1.52119
14.00,1.51905
13.79,1.51937
14.46,1.51829
14.09,1.51852
14.40,1.51299
14.99,1.51888
14.15,1.51916
14.56,1.51969
17.38,1.51115
13.69,1.51131
14.32,1.51838
13.44,1.52315
14.86,1.52247
15.79,1.52365
13.88,1.51613
14.85,1.51602
14.20,1.51623
14.75,1.51719
14.56,1.51683
14.14,1.51545
13.87,1.51556
14.70,1.51727
14.38,1.51531
15.01,1.51609
15.15,1.51508
11.95,1.51653
14.85,1.51514
14.80,1.51658
14.95,1.51617
14.95,1.51732
14.94,1.51645
14.39,1.51831
14.37,1.51640
14.14,1.51623
14.92,1.51685
14.36,1.52065
14.38,1.51651
14.23,1.51711
