Year,Global
1960,-.02
1961,.06
1962,.03
1963,.05
1964,-.20
1965,-.11
1966,-.06
1967,-.02
1968,-.08
1969,.05
1970,.03
1971,-.08
1972,.01
1973,.16
1974,-.07
1975,-.01
1976,-.10
1977,.18
1978,.07
1979,.16
1980,.26
1981,.32
1982,.14
1983,.31
1984,.15
1985,.12
1986,.18
1987,.32
1988,.39
1989,.27
1990,.45
1991,.40
1992,.22
1993,.23
1994,.31
1995,.44
1996,.33
1997,.46
1998,.61
1999,.38
2000,.39
2001,.53
2002,.63
2003,.62
2004,.53
2005,.68
2006,.64
2007,.66
2008,.54
2009,.66
2010,.73
2011,.61
2012,.65
2013,.68
2014,.75
2015,.90
2016,1.01
2017,.92
2018,.85
2019,.98
2020,1.01
2021,.85
2022,.89
2023,1.17
2024,1.28
2025,1.19
